95,Cerro Moreno  Antofagasta  Ap.;1;3;17.9;23.5,
96,Cerro Moreno  Antofagasta  Ap.;1;4;17.8;23.9,
97,Cerro Moreno  Antofagasta  Ap.;1;5;17.8;23.2,
98,Cerro Moreno  Antofagasta  Ap.;1;6;19.6;24.0,
99,Cerro Moreno  Antofagasta  Ap.;1;7;20.0;24.0,
100,Cerro Moreno  Antofagasta  Ap.;1;8;19.0;27.2,
101,Cerro Moreno  Antofagasta  Ap.;1;9;18.8;26.5,
102,Cerro Moreno  Antofagasta  Ap.;1;10;18.7;24.5,
103,Cerro Moreno  Antofagasta  Ap.;1;11;18.6;23.8,
104,Cerro Moreno  Antofagasta  Ap.;1;12;18.4;25.0,
105,Cerro Moreno  Antofagasta  Ap.;1;13;18.7;24.2,
106,Cerro Moreno  Antofagasta  Ap.;1;14;18.3;23.5,
107,Cerro Moreno  Antofagasta  Ap.;1;15;19.5;25.1,
108,Cerro Moreno  Antofagasta  Ap.;1;16;19.4;24.9,
109,Cerro Moreno  Antofagasta  Ap.;1;17;20.5;25.7,
110,Cerro Moreno  Antofagasta  Ap.;1;18;19.5;25.4,
111,Cerro Moreno  Antofagasta  Ap.;1;19;18.2;24.6,
112,Cerro Moreno  Antofagasta  Ap.;1;20;17.9;23.5,
113,Cerro Moreno  Antofagasta  Ap.;1;21;17.4;24.0,
114,Cerro Moreno  Antofagasta  Ap.;1;22;17.1;24.0,
115,Cerro Moreno  Antofagasta  Ap.;1;23;18.1;24.0,
116,Cerro Moreno  Antofagasta  Ap.;1;24;18.6;24.1,
117,Cerro Moreno  Antofagasta  Ap.;1;25;18.2;23.7,
118,Cerro Moreno  Antofagasta  Ap.;1;26;17.3;23.4,
119,Cerro Moreno  Antofagasta  Ap.;1;27;17.0;23.3,
120,Cerro Moreno  Antofagasta  Ap.;1;28;16.8;22.8,
121,Cerro Moreno  Antofagasta  Ap.;1;29;16.1;22.8,
122,Cerro Moreno  Antofagasta  Ap.;1;30;16.5;23.2,
123,Cerro Moreno  Antofagasta  Ap.;1;31;16.6;23.4,
124,Mataveri  Isla de Pascua Ap.;1;1;19.8;27.2,
125,Mataveri  Isla de Pascua Ap.;1;2;20.0;26.7,
126,Mataveri  Isla de Pascua Ap.;1;3;20.3;25.8,
127,Mataveri  Isla de Pascua Ap.;1;4;20.4;26.1,
